Dido nec,nec te noster amor nec te data dextera quondam,4,2024-12-06
Dido nec2,nec moritura tenet crudeli funere Dido,2,2024-12-07
Bacchus' mother,Semele,4,2024-12-06
Who got slaughtered by his own family thanks to Bacchus,Pentheus,4,2024-12-06
Before hell’s closed gates of adamant they sat,carceris ante fores clausas adamante sedebant,2,2024-12-07
combing the while black snakes from their hair,deque suis atros pectebant crinibus angues,1,2024-12-06
Ino's husband,Athamas,2,2024-12-06
There is no need of long explanations,non longis opus est ambagibus,1,2024-12-06
Ino's father,Cadmus,2,2024-12-06
Ino's sisters,Polydorus Semele Agave Autonoe,1,2024-12-06
Ino's nephews who came to a sticky end,Pentheus Actaeon,2,2024-12-06
Harmonia's parents,Ares Aphrodite,2,2024-12-06
Athamas's famous brother,Sisyphus,2,2024-12-06
The Fury of Athamas by John Flaxman location,Ickworth House,2,2024-12-06
Which Erinyes drove Athamas and Ino mad,Tisiphone,2,2024-12-06
What poisons were givent to Athamas and Ino,serpents + froth of Cerberus' jaws + Hydra venom,1,2024-12-06
Whose head got dashed against the rocks,Learchus,2,2024-12-06
Latin for foster son,alumnus,1,2024-12-06
Athamas and Ino's son who became Palaemon,Melicerta,1,2024-12-06
What goddess did Ino become,Leucothoë,1,2024-12-01
What happened to Ino's companions,turned to stone or became birds,1,2024-12-01
Consider it done,facta puta,1,2024-12-01
Athamas's first wife,Nephele,1,2024-12-01
Athamas's children with Nephele,Phrixus and Helle,1,2024-12-01
Ino's plot,Roasted town's crop seeds to stop them growing. Bribed oracle to say Phrixus should die,1,2024-12-01
How Phrixus and Helle rescued,Nephele sent a flying golden ram,1,2024-12-01
Hellespont etymology,Helle looked down,1,2024-12-01
Cool story,ambages ambagis f,1,2024-12-01
